15:53:42.791613 ------------------------------------------------------------
15:53:42.791775 Client connecting to 10.0.1.24, UDP port 5001 with pid 130512
15:53:42.791860 Binding to local address 10.60.0.1
15:53:42.791890 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
15:53:42.791921 UDP buffer size:  208 KByte (default)
15:53:42.791971 ------------------------------------------------------------
15:53:42.792002 [  3] local 10.60.0.1 port 49678 connected with 10.0.1.24 port 5001
15:53:42.792032 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
15:53:43.635800 [  3] 0.8598-0.8648 sec  2.34 KBytes  3.84 Mbits/sec  12/0     2678 pps
15:53:43.635940 [  3] 0.8648-0.8698 sec  4.10 KBytes  6.72 Mbits/sec  21/0     3980 pps
15:53:43.655916 [  3] 0.8698-0.8748 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3345 pps
15:53:43.656102 [  3] 0.8748-0.8798 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3278 pps
15:53:43.656123 [  3] 0.8798-0.8848 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3284 pps
15:53:43.656136 [  3] 0.8848-0.8898 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3303 pps
15:53:43.676705 [  3] 0.8898-0.8948 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2883 pps
15:53:43.676887 [  3] 0.8948-0.8998 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3259 pps
15:53:43.676958 [  3] 0.8998-0.9048 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3328 pps
15:53:43.676977 [  3] 0.9048-0.9098 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3736 pps
15:53:43.698038 [  3] 0.9098-0.9148 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3165 pps
15:53:43.698196 [  3] 0.9148-0.9198 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3099 pps
15:53:43.698220 [  3] 0.9198-0.9248 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3495 pps
15:53:43.698233 [  3] 0.9248-0.9298 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3421 pps
15:53:43.718768 [  3] 0.9298-0.9348 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2995 pps
15:53:43.718846 [  3] 0.9348-0.9398 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3154 pps
15:53:43.718867 [  3] 0.9398-0.9448 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3669 pps
15:53:43.718875 [  3] 0.9448-0.9498 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3012 pps
15:53:43.739592 [  3] 0.9498-0.9548 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3647 pps
15:53:43.739798 [  3] 0.9548-0.9598 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2948 pps
15:53:43.739830 [  3] 0.9598-0.9648 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3006 pps
15:53:43.739847 [  3] 0.9648-0.9698 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3278 pps
15:53:43.739864 [  3] 0.9698-0.9748 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3987 pps
15:53:43.759798 [  3] 0.9748-0.9798 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3137 pps
