------------------------------------------------------------
Server listening on UDP port 5001 with pid 130192
Binding to local address 10.0.1.24
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 49678
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.5999-0.6049 sec  4.69 KBytes  7.68 Mbits/sec   0.432 ms    0/   24 (0%)  8.578/ 7.084/ 9.306/ 0.779 ms 4183 pps  111.94
[  3] 0.6049-0.6099 sec  2.34 KBytes  3.84 Mbits/sec   0.474 ms    0/   12 (0%)  8.967/ 7.256/ 9.665/ 0.769 ms 3061 pps  53.54
[  3] 0.6099-0.6149 sec  3.52 KBytes  5.76 Mbits/sec   0.385 ms    0/   18 (0%)  8.234/ 7.041/ 8.928/ 0.552 ms 3230 pps  87.46
[  3] 0.6149-0.6199 sec  4.30 KBytes  7.04 Mbits/sec   0.288 ms    0/   22 (0%)  8.038/ 6.804/ 8.234/ 0.382 ms 3618 pps  109.50
[  3] 0.6199-0.6249 sec  2.54 KBytes  4.16 Mbits/sec   0.327 ms    0/   13 (0%)  7.816/ 6.561/ 7.940/ 0.472 ms 3285 pps  66.54
[  3] 0.6249-0.6299 sec  3.91 KBytes  6.40 Mbits/sec   0.342 ms    0/   20 (0%)  7.762/ 6.489/ 8.043/ 0.547 ms 3441 pps  103.08
[  3] 0.6299-0.6349 sec  2.15 KBytes  3.52 Mbits/sec   0.328 ms    0/   11 (0%)  8.407/ 7.000/ 8.043/ 0.320 ms 2889 pps  52.35
[  3] 0.6349-0.6399 sec  3.52 KBytes  5.76 Mbits/sec   0.345 ms    0/   18 (0%)  7.836/ 6.395/ 8.003/ 0.539 ms 3621 pps  91.90
[  3] 0.6399-0.6449 sec  2.15 KBytes  3.52 Mbits/sec   0.414 ms    0/   11 (0%)  8.261/ 7.083/ 8.858/ 0.580 ms 2316 pps  53.28
[  3] 0.6449-0.6499 sec  4.88 KBytes  8.00 Mbits/sec   0.381 ms    0/   25 (0%)  7.745/ 6.673/ 8.865/ 0.650 ms 4282 pps  129.15
[  3] 0.6499-0.6549 sec  2.73 KBytes  4.48 Mbits/sec   0.306 ms    0/   14 (0%)  7.937/ 6.675/ 7.955/ 0.504 ms 2869 pps  70.57
[  3] 0.6549-0.6599 sec  3.32 KBytes  5.44 Mbits/sec   0.405 ms    0/   17 (0%)  7.756/ 6.446/ 7.984/ 0.485 ms 3506 pps  87.70
[  3] 0.6599-0.6649 sec  3.12 KBytes  5.12 Mbits/sec   0.386 ms    0/   16 (0%)  7.864/ 6.698/ 7.927/ 0.470 ms 3270 pps  81.39
[  3] 0.6649-0.6699 sec  3.52 KBytes  5.76 Mbits/sec   0.332 ms    0/   18 (0%)  7.966/ 6.844/ 9.101/ 0.666 ms 3570 pps  90.41
[  3] 0.6699-0.6749 sec  2.93 KBytes  4.80 Mbits/sec   0.365 ms    0/   15 (0%)  8.125/ 6.950/ 9.033/ 0.760 ms 2623 pps  73.86
[  3] 0.6749-0.6799 sec  2.15 KBytes  3.52 Mbits/sec   0.339 ms    0/   11 (0%)  9.263/ 7.500/ 8.822/ 0.481 ms 2911 pps  47.51
[  3] 0.6799-0.6849 sec  4.10 KBytes  6.72 Mbits/sec   0.317 ms    0/   21 (0%)  8.381/ 6.957/ 8.792/ 0.674 ms 3515 pps  100.24
[  3] 0.6849-0.6899 sec  3.71 KBytes  6.08 Mbits/sec   0.290 ms    0/   19 (0%)  7.885/ 6.616/ 8.019/ 0.392 ms 3305 pps  96.41
[  3] 0.6899-0.6949 sec  2.73 KBytes  4.48 Mbits/sec   0.368 ms    0/   14 (0%)  7.982/ 6.657/ 8.300/ 0.599 ms 3440 pps  70.17
[  3] 0.6949-0.6999 sec  1.95 KBytes  3.20 Mbits/sec   0.317 ms    0/   10 (0%)  8.331/ 6.801/ 8.300/ 0.369 ms 6068 pps  48.02
[  3] 0.6999-0.7049 sec  0.00 Bytes  0.00 bits/sec   0.000 ms    0/    0 (0%) -/-/-/- ms    0 pps
[  3] 0.7049-0.7099 sec   200 Bytes   320 Kbits/sec   1.110 ms    0/    1 (0%) 26.610/ 6.801/19.809/ 0.000 ms   71 pps  1.50
[  3] 0.7099-0.7149 sec  2.15 KBytes  3.52 Mbits/sec   0.906 ms    0/   11 (0%) 20.836/17.700/21.902/ 1.261 ms 2377 pps  21.12
